NFECHA,IDX,TheYear,TheDate,CANT,DEPARTAMENTO
16 Ene,116,2017,2017-01-16,4,LORETO
16 Ene,116,2017,2017-01-16,2,MADRE DE DIOS
16 Ene,116,2017,2017-01-16,2,MOQUEGUA
16 Ene,116,2017,2017-01-16,0,PASCO
16 Ene,116,2017,2017-01-16,4,PIURA
16 Ene,116,2017,2017-01-16,12,PUNO
16 Ene,116,2017,2017-01-16,6,SAN MARTIN
16 Ene,116,2017,2017-01-16,0,SIN REGISTRO
16 Ene,116,2017,2017-01-16,5,TACNA
16 Ene,116,2017,2017-01-16,2,TUMBES
16 Ene,116,2017,2017-01-16,4,UCAYALI
17 Ene,117,2017,2017-01-17,1,AMAZONAS
17 Ene,117,2017,2017-01-17,2,ANCASH
17 Ene,117,2017,2017-01-17,3,APURIMAC
17 Ene,117,2017,2017-01-17,17,AREQUIPA
17 Ene,117,2017,2017-01-17,2,AYACUCHO
17 Ene,117,2017,2017-01-17,8,CAJAMARCA
17 Ene,117,2017,2017-01-17,10,CALLAO
17 Ene,117,2017,2017-01-17,8,CUSCO
17 Ene,117,2017,2017-01-17,0,EXTRANJERO
17 Ene,117,2017,2017-01-17,2,HUANCAVELICA
17 Ene,117,2017,2017-01-17,9,HUANUCO
17 Ene,117,2017,2017-01-17,9,ICA
17 Ene,117,2017,2017-01-17,14,JUNIN
17 Ene,117,2017,2017-01-17,27,LA LIBERTAD
17 Ene,117,2017,2017-01-17,21,LAMBAYEQUE
17 Ene,117,2017,2017-01-17,77,LIMA
17 Ene,117,2017,2017-01-17,4,LORETO
17 Ene,117,2017,2017-01-17,2,MADRE DE DIOS
17 Ene,117,2017,2017-01-17,4,MOQUEGUA
17 Ene,117,2017,2017-01-17,4,PASCO
17 Ene,117,2017,2017-01-17,11,PIURA
17 Ene,117,2017,2017-01-17,8,PUNO
17 Ene,117,2017,2017-01-17,3,SAN MARTIN
17 Ene,117,2017,2017-01-17,4,SIN REGISTRO
17 Ene,117,2017,2017-01-17,3,TACNA
17 Ene,117,2017,2017-01-17,2,TUMBES
17 Ene,117,2017,2017-01-17,3,UCAYALI
18 Ene,118,2017,2017-01-18,3,AMAZONAS
18 Ene,118,2017,2017-01-18,9,ANCASH
18 Ene,118,2017,2017-01-18,5,APURIMAC
18 Ene,118,2017,2017-01-18,9,AREQUIPA
18 Ene,118,2017,2017-01-18,0,AYACUCHO
